1575607585179|45|statement|connection 1|url jdbc:mysql://localhost:3306/course_accreditation?serverTimezone=GMT%2B8&allowMultiQueries=true&characterEncoding=UTF-8|SELECT count(0) FROM course|SELECT count(0) FROM course
1575607585197|0|statement|connection 1|url jdbc:mysql://localhost:3306/course_accreditation?serverTimezone=GMT%2B8&allowMultiQueries=true&characterEncoding=UTF-8|SELECT  id,code,nature,create_time,name,update_time,credit  FROM course LIMIT ? |SELECT  id,code,nature,create_time,name,update_time,credit  FROM course LIMIT 10
1575617094789|6|statement|connection 0|url jdbc:mysql://localhost:3306/course_accreditation?serverTimezone=GMT%2B8&allowMultiQueries=true&characterEncoding=UTF-8|SELECT  id,password,login_time,major_id,sno,create_time,grade,sex,name,update_time,avatar,status  FROM student     WHERE (sno = ?)|SELECT  id,password,login_time,major_id,sno,create_time,grade,sex,name,update_time,avatar,status  FROM student     WHERE (sno = '123')
1575617096718|1|statement|connection 1|url jdbc:mysql://localhost:3306/course_accreditation?serverTimezone=GMT%2B8&allowMultiQueries=true&characterEncoding=UTF-8|SELECT  id,password,login_time,major_id,sno,create_time,grade,sex,name,update_time,avatar,status  FROM student     WHERE (sno = ?)|SELECT  id,password,login_time,major_id,sno,create_time,grade,sex,name,update_time,avatar,status  FROM student     WHERE (sno = '123')
1575617137559|1|statement|connection 3|url jdbc:mysql://localhost:3306/course_accreditation?serverTimezone=GMT%2B8&allowMultiQueries=true&characterEncoding=UTF-8|SELECT  id,graduate_school,role,sex,birth,jno,update_time,avatar,title,password,login_time,graduate_major,create_time,name  FROM teacher     WHERE (jno = ?)|SELECT  id,graduate_school,role,sex,birth,jno,update_time,avatar,title,password,login_time,graduate_major,create_time,name  FROM teacher     WHERE (jno = '123')
1575617137559|1|statement|connection 2|url jdbc:mysql://localhost:3306/course_accreditation?serverTimezone=GMT%2B8&allowMultiQueries=true&characterEncoding=UTF-8|SELECT  id,graduate_school,role,sex,birth,jno,update_time,avatar,title,password,login_time,graduate_major,create_time,name  FROM teacher     WHERE (jno = ?)|SELECT  id,graduate_school,role,sex,birth,jno,update_time,avatar,title,password,login_time,graduate_major,create_time,name  FROM teacher     WHERE (jno = '123')
1575617137570|0|statement|connection 4|url jdbc:mysql://localhost:3306/course_accreditation?serverTimezone=GMT%2B8&allowMultiQueries=true&characterEncoding=UTF-8|SELECT  id,graduate_school,role,sex,birth,jno,update_time,avatar,title,password,login_time,graduate_major,create_time,name  FROM teacher     WHERE (jno = ? AND password = ?)|SELECT  id,graduate_school,role,sex,birth,jno,update_time,avatar,title,password,login_time,graduate_major,create_time,name  FROM teacher     WHERE (jno = '123' AND password = '123456')
1575617137570|0|statement|connection 5|url jdbc:mysql://localhost:3306/course_accreditation?serverTimezone=GMT%2B8&allowMultiQueries=true&characterEncoding=UTF-8|SELECT  id,graduate_school,role,sex,birth,jno,update_time,avatar,title,password,login_time,graduate_major,create_time,name  FROM teacher     WHERE (jno = ? AND password = ?)|SELECT  id,graduate_school,role,sex,birth,jno,update_time,avatar,title,password,login_time,graduate_major,create_time,name  FROM teacher     WHERE (jno = '123' AND password = '123456')
1575617137969|0|statement|connection 7|url jdbc:mysql://localhost:3306/course_accreditation?serverTimezone=GMT%2B8&allowMultiQueries=true&characterEncoding=UTF-8|SELECT  id,password,login_time,major_id,sno,create_time,grade,sex,name,update_time,avatar,status  FROM student     WHERE (sno = ?)|SELECT  id,password,login_time,major_id,sno,create_time,grade,sex,name,update_time,avatar,status  FROM student     WHERE (sno = '123')
1575617137969|0|statement|connection 6|url jdbc:mysql://localhost:3306/course_accreditation?serverTimezone=GMT%2B8&allowMultiQueries=true&characterEncoding=UTF-8|SELECT  id,password,login_time,major_id,sno,create_time,grade,sex,name,update_time,avatar,status  FROM student     WHERE (sno = ?)|SELECT  id,password,login_time,major_id,sno,create_time,grade,sex,name,update_time,avatar,status  FROM student     WHERE (sno = '123')
1575617137971|0|statement|connection 9|url jdbc:mysql://localhost:3306/course_accreditation?serverTimezone=GMT%2B8&allowMultiQueries=true&characterEncoding=UTF-8|SELECT  id,graduate_school,role,sex,birth,jno,update_time,avatar,title,password,login_time,graduate_major,create_time,name  FROM teacher     WHERE (jno = ?)|SELECT  id,graduate_school,role,sex,birth,jno,update_time,avatar,title,password,login_time,graduate_major,create_time,name  FROM teacher     WHERE (jno = '123')
